,NAME,DP03_0004PE,state,place
234,"Miami city, Florida",64.0,12,45000
235,"Miami Beach city, Florida",68.8,12,45025
236,"Miami Gardens city, Florida",59.8,12,45060
237,"Miramar city, Florida",66.2,12,45975
238,"North Port city, Florida",53.6,12,49675
239,"Ocala city, Florida",52.6,12,50750
240,"Palm Harbor CDP, Florida",57.0,12,54350
241,"Orlando city, Florida",67.7,12,53000
242,"Palm Bay city, Florida",56.5,12,54000
243,"Palm Coast city, Florida",46.1,12,54200
244,"Pembroke Pines city, Florida",58.8,12,55775
245,"Pine Hills CDP, Florida",56.1,12,56825
246,"Plantation city, Florida",65.6,12,57425
247,"Poinciana CDP, Florida",47.1,12,57900
248,"Pompano Beach city, Florida",57.1,12,58050
249,"Port Charlotte CDP, Florida",49.2,12,58350
250,"Port St. Lucie city, Florida",55.0,12,58715
251,"Riverview CDP, Florida",70.9,12,60950
252,"St. Petersburg city, Florida",60.0,12,63000
253,"Spring Hill CDP, Florida",50.1,12,68350
254,"Sunrise city, Florida",64.3,12,69700
255,"The Villages CDP, Florida",11.9,12,71625
256,"Tallahassee city, Florida",63.7,12,70600
257,"Tamarac city, Florida",63.6,12,70675
258,"Tampa city, Florida",63.6,12,71000
259,"Town 'n' Country CDP, Florida",66.5,12,72145
260,"Wesley Chapel CDP, Florida",66.2,12,75875
261,"Weston city, Florida",66.2,12,76582
262,"West Palm Beach city, Florida",62.9,12,76600
263,"Albany city, Georgia",50.0,13,01052
264,"Alpharetta city, Georgia",65.8,13,01696
265,"Athens-Clarke County unified government (balance), Georgia",59.7,13,03440
266,"Atlanta city, Georgia",67.2,13,04000
267,"Augusta-Richmond County consolidated government (balance), Georgia",54.2,13,04204
268,"Warner Robins city, Georgia",60.3,13,80508
269,"Columbus city, Georgia",51.8,13,19000
270,"Johns Creek city, Georgia",64.9,13,42425
271,"Macon-Bibb County, Georgia",52.6,13,49008
272,"Roswell city, Georgia",67.5,13,67284
273,"Sandy Springs city, Georgia",70.4,13,68516
274,"Savannah city, Georgia",57.3,13,69000
275,"South Fulton city, Georgia",62.5,13,72122
276,"Nampa city, Idaho",68.5,16,56260
277,"Urban Honolulu CDP, Hawaii",59.6,15,71550
278,"Boise City city, Idaho",66.3,16,08830
279,"Caldwell city, Idaho",64.2,16,12250
280,"Idaho Falls city, Idaho",59.9,16,39700
281,"Meridian city, Idaho",65.8,16,52120
282,"Bolingbrook village, Illinois",66.4,17,07133
283,"Arlington Heights village, Illinois",65.6,17,02154
284,"Aurora city, Illinois",68.8,17,03012
285,"Bloomington city, Illinois",61.7,17,06613
286,"Champaign city, Illinois",58.2,17,12385
287,"Chicago city, Illinois",62.8,17,14000
288,"Cicero town, Illinois",62.7,17,14351
289,"Decatur city, Illinois",53.4,17,18823
290,"Fort Wayne city, Indiana",62.3,18,25000
291,"Gary city, Indiana",46.6,18,27000
